ortho	freqfilms2	freqlivres	nblettres
double-cliqué	0.07	0	13
double-croche	0.01	0	13
double-décimètre	0	0.07	16
double-fond	0.01	0	11
double-six	0.14	0.2	10
doubleau	0	0.14	8
doubleaux	0	0.07	9
doublement	1.36	4.26	10
doublement	0.03	0.27	10
doublent	0.19	0.68	8
doubler	0.18	0	7
doubler	4.65	4.39	7
doublera	0.11	0.07	8
doublerai	0.12	0.07	9
doubleraient	0.01	0	12
doublerait	0.1	0.07	10
doublerez	0.01	0.07	9
doublerons	0.03	0	10
doubles	1.78	6.15	7
doubles	1.27	2.09	7
doubles	0.33	0	7
doublet	0	0.14	7
doublets	0	0.07	8
doublette	0.14	0.07	9
doubleur	0.07	0	8
doubleuse	0.01	0	9
doubleuses	0.01	0	10
doublez	1.02	0.27	7
doubliez	0.02	0	8
doublions	0	0.07	9
doublon	0.06	0.27	7
doublonner	0.01	0	10
doublons	0.09	0	8
doublons	0.16	0.14	8
doublure	3.7	3.38	8
doublures	0.14	1.15	9
doublât	0	0.07	7
doublèrent	0	0.14	10
doublé	3.13	4.12	6
doublé	0.34	0.68	6
doublé	0.71	0.68	6
doublée	0.5	2.16	7
doublée	0.05	0.27	7
doublées	0.04	0.54	8
doublées	0.01	0.07	8
doublés	0.61	0.95	7
doublés	0.14	0.2	7
doublés	0	0.14	7
douce	0.01	0	5
douce	44.7	73.58	5
douce-amère	0.06	0.27	11
douce-amère	0	0.07	11
doucement	103.81	128.38	9
doucereuse	0.04	0.74	10
doucereusement	0	0.2	14
doucereuses	0	0.47	11
doucereux	0.25	1.76	9
douces	6.77	12.77	6
douces-amères	0	0.07	13
doucet	0.02	0.88	6
doucette	0	0.14	8
doucette	0.01	0.14	8
doucettement	0	0.41	12
douceur	16.02	66.08	7
douceurs	0.85	3.92	8
douceâtre	0.15	2.3	9
douceâtres	0	0.41	10
doucha	0.14	0.27	6
douchais	0.09	0.07	8
douchait	0.03	0.61	8
douchant	0.01	0	8
douche	32.56	20.27	6
douche	1.29	0.41	6
douchent	0.14	0.07	8
doucher	3.29	0.47	7
douchera	0.01	0	8
doucherai	0	0.07	9
doucheras	0.02	0	9
douches	3.49	3.58	7
douches	0.2	0	7
doucheur	0	0.07	8
douchez	0.05	0	7
douchiez	0.01	0	8
douchons	0.02	0.07	8
douché	0.99	0.34	6
douchée	0.19	0.07	7
douchés	0.27	0.14	7
doucie	0.02	0	6
doucin	0	0.07	6
doucine	0.01	0	7
doucins	0	0.07	7
doudou	0.58	6.76	6
doudoune	0.46	0.14	8
doudounes	0.46	0.41	9
douelle	0	0.14	7
douelles	0	0.47	8
douer	0	0.2	5
douglas	0.09	0	7
douillait	0	0.14	9
douille	1.79	0.81	7
douille	0.04	0.2	7
douillent	0	0.07	9
douiller	0.17	0.54	8
douillera	0	0.07	9
douilles	1.88	2.7	8
douilles	0.01	0	8
douillet	1.97	4.19	8
douillets	0.04	0.81	9
douillette	0.58	1.62	10
douillette	0.04	0.34	10
douillettement	0.03	0.54	14
douillettes	0.04	0.34	11
douillettes	0	0.07	11
douillons	0	0.54	9
douillé	0	0.07	7
douillée	0	0.2	8
douleur	65.78	77.84	7
douleurs	10.1	14.05	8
douloureuse	4.05	13.58	11
douloureusement	1	5.54	15
douloureuses	1.23	3.24	12
douloureux	11.88	20.68	10
douma	0.34	0.14	5
doura	0	0.07	5
douro	0	0.2	5
douros	0	0.34	6
douta	0.03	1.15	5
doutai	0.14	0.54	6
doutaient	0.11	2.16	9
doutais	11.76	9.32	7
doutait	0.96	13.99	7
doutance	0	0.14	8
doutances	0	0.14	9
doutant	0.15	2.03	7
doute	97.51	341.35	5
doute	37.83	20	5
doutent	1.04	1.82	7
douter	12.64	23.92	6
doutera	0.43	0.34	7
douterai	0.11	0.14	8
douterais	0.3	0.27	9
douterait	0.2	0.47	9
douteras	0.01	0.07	8
douterez	0.01	0.07	8
douteriez	0.08	0.07	9
douteront	0.05	0.07	9
doutes	10.66	8.72	6
doutes	3.42	1.35	6
douteurs	0	0.14	8
douteuse	1.17	3.92	8
douteusement	0	0.07	12
douteuses	0.69	1.82	9
douteux	2.23	10.2	7
doutez	3.17	1.82	6
doutiez	0.66	0.2	7
doutions	0.04	1.15	8
doutons	0.52	0.74	7
doutât	0	0.47	6
doutèrent	0	0.14	9
douté	3.77	4.8	5
doutée	0.34	0.81	6
doutés	0.02	0.2	6
douve	0.06	0.34	5
douves	0.47	1.08	6
doux	37.66	58.72	4
doux	9.77	2.03	4
doux	6.54	7.16	4
doux-amer	0.04	0	9
douzaine	8.18	13.18	8
douzaines	4.72	5.41	9
douze	21.81	48.18	5
douzième	0.33	2.77	8
douzième	0.35	0.88	8
douzièmes	0	0.07	9
douçâtre	0	0.07	8
doué	11.31	7.43	4
doué	6.81	4.19	4
douée	8.03	3.04	5
douée	4.41	1.28	5
douées	0.12	0.27	6
douées	0.47	0.41	6
doués	0.84	1.76	5
doués	1.03	1.69	5
down	0	0.54	4
downing street	0	0.34	14
doyen	3.12	5.88	5
doyenne	0.11	0.81	7
doyenné	0	0.07	7
doyens	0.09	0.07	6
doña	2.44	0	4
drache	0.01	0	6
drachme	0.02	0.54	7
drachmes	1.28	2.03	8
draconien	0.14	0.07	9
draconienne	0.02	0.14	11
draconiennes	0.28	0.2	12
draconiens	0.04	0.14	10
drag	0.6	0.14	4
dragage	0.15	0	7
drageoir	0	0.34	8
drageoirs	0	0.14	9
dragon	10.53	7.97	6
dragonnades	0	0.14	11
dragonne	0.06	0.27	8
dragonnier	0.1	0	10
dragons	3.39	3.99	7
drags	0.14	0.2	5
dragster	0.04	0	8
dragua	0	0.14	6
draguaient	0.1	0.14	10
draguais	0.57	0.07	8
draguait	1.08	0.54	8
draguant	0.06	0.2	8
drague	2.01	2.97	6
drague	3.57	1.01	6
draguent	0.14	0.47	8
draguer	9.84	2.43	7
draguera	0.04	0	8
draguerai	0.04	0.07	9
draguerais	0.16	0	10
draguerait	0.02	0	10
dragues	0	0.14	7
dragues	1.7	0	7
dragueur	0.59	0.47	8
dragueurs	0.06	0.88	9
dragueuse	0.05	0.14	9
draguez	0.56	0	7
draguiez	0.01	0	8
draguons	0.03	0.07	8
dragué	1.51	0.41	6
draguée	1.39	0.61	7
draguées	0.17	0	8
dragués	0.02	0.07	7
dragée	0.21	1.01	6
dragées	1.14	2.03	7
drailles	0	0.41	8
drain	0.93	0.2	5
draina	0	0.07	6
drainage	0.41	0.54	8
drainages	0	0.07	9
drainaient	0	0.14	10
drainait	0.14	0.14	8
drainant	0	0.27	8
draine	0.14	0.14	6
drainent	0.04	0	8
drainer	0.42	0.14	7
drainera	0.02	0	8
drainons	0.01	0	8
drains	0.18	0.27	6
drainé	0.09	0.2	6
drainées	0	0.07	8
drainés	0.01	0.07	7
draisienne	0	0.07	10
draisine	0.02	0.07	8
drakkar	0.25	0	7
drakkars	0	0.27	8
dramatique	7.29	9.39	10
dramatique	0.5	0.47	10
dramatiquement	0.27	0.41	14
dramatiques	1.3	1.96	11
dramatiques	0.01	0.14	11
dramatisait	0	0.2	11
dramatisant	0	0.07	11
dramatisation	0.17	0.14	13
dramatise	0.72	0.41	9
dramatisent	0.01	0	11
dramatiser	0.72	0.68	10
dramatises	0.59	0.14	10
dramatisez	0.1	0	10
dramatisons	0.2	0.07	11
dramatisé	0.05	0.07	9
dramatisée	0.01	0.07	10
dramatisés	0.01	0.07	10
dramaturge	0.53	0.74	10
dramaturges	0.05	0.14	11
dramaturgie	0.26	0.07	11
drame	13.48	32.5	5
drames	1.39	7.43	6
drap	3.69	33.18	4
drapa	0	0.47	5
drapai	0	0.07	6
drapaient	0.14	0.07	9
drapait	0	0.68	7
drapant	0	0.14	7
drape	0.14	0.54	5
drapeau	14.66	23.31	7
drapeaux	5.03	14.32	8
drapelets	0	0.07	9
drapent	0.11	0.14	7
draper	0.03	0.27	6
draperaient	0	0.07	11
draperez	0.14	0	8
draperie	0	1.42	8
draperies	0.02	1.89	9
drapier	0	0.14	7
drapier	0	0.27	7
drapiers	0	0.34	8
drapiers	0	0.14	8
draps	15.54	40.95	5
drapèrent	0	0.07	9
drapé	0.16	1.22	5
drapé	0.03	1.49	5
drapé	0.11	0.61	5
drapée	0.13	2.16	6
drapées	0	1.01	7
drapés	0	0.34	6
drapés	0.14	0.81	6
drapés	0	0.27	6
drastique	0.43	0.07	9
drastiquement	0.02	0	13
drastiques	0.07	0	10
drave	0	0.07	5
draveurs	0	0.07	8
dreadlocks	0.11	0	10
dream team	0.07	0	10
drelin	0.43	0	6
drepou	0	0.07	6
dressa	0.18	9.73	6
dressage	0.58	1.76	8
dressages	0	0.07	9
dressai	0.1	0.61	7
dressaient	0.32	5.47	10
dressais	0.08	0.47	8
dressait	0.19	13.85	8
dressant	0	0.07	8
dressant	0.48	3.65	8
dresse	4.76	13.51	6
dressement	0	0.07	10
dressent	0.77	4.93	8
dresser	4.65	14.93	7
dressera	0.37	0.54	8
dresserai	0.15	0.07	9
dresseraient	0.01	0.2	12
dresserait	0.02	0.34	10
dresseras	0.01	0	9
dresserons	0.26	0.07	10
dresseront	0.16	0.14	10
dresses	0.23	0.27	7
dresseur	0.5	0.34	8
dresseurs	0.32	0.27	9
dresseuse	0.05	0.07	9
dressez	0.7	0.54	7
dressing	0.28	0	8
dressing-room	0.01	0	13
dressions	0	0.2	9
dressoir	0.01	0.34	8
dressoirs	0	0.14	9
dressons	0.19	0.27	8
dressât	0	0.14	7
dressèrent	0.04	1.15	10
dressé	3.36	13.24	6
dressé	0.83	3.92	6
dressée	0.31	7.23	7
dressée	0.29	3.11	7
dressées	0.26	3.38	8
dressées	0.44	2.36	8
dressés	0.29	4.93	7
dressés	0.22	2.43	7
dreyfusard	0.14	0.07	10
dreyfusards	0.14	0.14	11
dreyfusisme	0	0.07	11
dribbla	0	0.07	7
dribblais	0.1	0.07	9
dribblait	0.1	0.07	9
dribble	0.29	0.07	7
dribble	0.09	0	7
dribbler	0.2	0.14	8
dribbles	0.4	0	8
dribbles	0.01	0	8
dribbleur	0	0.14	9
dribblez	0.01	0	8
dribblé	0.29	0	7
drible	0.14	0.07	6
dribler	0.1	0	7
drift	0.04	0.07	5
drifter	0.02	37.5	7
drifters	0.03	0	8
drill	0.01	0.07	5
drille	0.08	0.61	6
drilles	0.04	0.61	7
dring	0.32	0.61	5
drink	0.89	0.41	5
drinks	0.03	0.47	6
drisse	0.06	0.47	6
drisses	0.11	0.34	7
drivait	0	0.14	7
drivant	0	0.07	7
drive	1.41	0.41	5
drive-in	0.94	0	8
driver	0.25	0.27	6
driver	0.23	0.2	6
drivers	0.06	0.07	7
drives	0.04	0	6
drivé	0	0.07	5
drivée	0.01	0.14	6
drogman	0	0.2	7
drogmans	0	0.07	8
droguaient	0.19	0.07	10
droguais	0.29	0	8
droguait	0.94	0.68	8
droguant	0.06	0	8
drogue	47.2	10.54	6
drogue	2.65	0.95	6
droguent	0.5	0.2	8
droguer	2.44	0.74	7
droguerie	0.28	0.47	9
drogueries	0.03	0.07	10
drogues	11.56	3.18	7
drogues	0.9	0.2	7
droguet	0	0.95	7
droguets	0	0.14	8
droguez	0.49	0.14	7
droguiez	0.05	0	8
droguiste	0.16	0.41	9
droguistes	0.02	0.2	10
drogué	2.55	0.47	6
drogué	0.78	0.41	6
drogué	2.63	0.68	6
droguée	1.47	0.14	7
droguée	0.31	0.2	7
droguée	1.28	0.41	7
droguées	0.09	0.14	8
droguées	0.03	0.07	8
droguées	0.25	0	8
drogués	0.55	0.14	7
drogués	0.22	0.14	7
drogués	2.2	1.35	7
droicos	0	0.27	7
droit	38.33	74.26	5
droit	31.48	31.89	5
droit	175.6	138.72	5
droit-fil	0	0.07	9
droite	36.33	79.26	6
droite	58.44	116.69	6
droitement	0.01	0.07	10
droites	0.83	4.8	7
droites	0.26	1.28	7
droitier	0.69	0	8
droitier	0.21	0.07	8
droitiers	0.01	0	9
droitiers	0.14	0.14	9
droitière	0.06	0.07	9
droits	2.25	5.07	6
droits	32.01	25	6
droiture	1.33	1.76	8
drolatique	0.54	0.34	10
drolatiques	0	0.14	11
dromadaire	0.44	0.68	10
dromadaires	0	0.54	11
drome	0.01	0.07	5
dromes	0.01	0	6
drone	0.88	0	5
drone-espion	0.02	0	12
drones	0.91	0	6
dronte	0.01	0.07	6
drop	1.11	0	4
drope	0	0.07	5
dropent	0	0.07	7
droppage	0.04	0	8
droppant	0	0.07	8
droppe	0	0.2	6
dropé	0	0.07	5
drosophile	0.06	0	10
drosophiles	0.04	0	11
dross	0	0.07	5
drossait	0	0.07	8
drossant	0	0.07	8
drossart	0	0.07	8
drosser	0	0.07	7
drossé	0.01	0.07	6
drossée	0	0.07	7
drossés	0	0.07	7
droséra	0.01	0	7
dru	0.13	2.84	3
dru	0.11	1.22	3
drue	0.15	3.58	4
drues	0	0.68	5
drugstore	1.58	1.82	9
drugstores	0.14	0.07	10
druide	0.89	2.84	6
druides	0.28	2.03	7
druidesse	0.02	0.14	9
druidesses	0	0.07	10
druidique	0.19	0.54	9
druidiques	0	0.2	10
druidisme	0	0.54	9
drumlin	0.11	0	7
drummer	0.17	0.07	7
drums	0.04	0.07	5
drus	0.34	2.43	4
druze	0.4	0.54	5
druzes	0.16	0.74	6
dry	1.02	1.22	3
dryade	0	0.07	6
dryades	0.16	0.2	7
drège	0.01	0	5
drépanocytose	0.01	0	13
drôle	138.46	85.47	5
drôle	13.59	14.46	5
drôlement	10.79	24.86	9
drôlerie	0.14	3.45	8
drôleries	0.01	0.27	9
drôles	6.02	9.59	6
drôles	5.15	6.55	6
drôlesse	0.21	0.07	8
drôlesses	0	0.14	9
drôlet	0.01	0.07	6
drôlet	0	0.07	6
drôlette	0	0.34	8
du	4394.7	6882.16	2
dual	0.07	0	4
dualisme	0.02	0.34	8
dualiste	0.01	0	8
dualité	0.33	0.68	7
dubitatif	0.07	1.15	9
dubitatifs	0.01	0.2	10
dubitation	0	0.07	10
dubitations	0	0.07	11
dubitative	0	0.74	10
dubitativement	0	0.14	14
dubitatives	0	0.2	11
duc	7.66	14.8	3
ducal	0.02	0.54	5
ducale	0.11	0.47	6
ducales	0	0.07	7
ducasse	0.01	0.2	7
ducasses	0	0.07	8
ducat	0.2	0.07	5
ducaton	0	0.14	7
ducats	0.8	1.22	6
ducaux	0.1	0	6
duce	2.21	2.91	4
duces	0	0.07	5
duchesse	3.99	6.15	8
duchesses	0.06	0.95	9
duchnoque	0.02	0.07	9
duché	0.06	0.14	5
ducon	6.86	1.01	5
ducs	0.69	1.62	4
ducs-d'albe	0	0.07	11
ductile	0.01	0.27	7
dudit	0.16	1.08	5
due	3.95	5.95	3
due	1.03	2.03	3
duel	6.17	4.93	4
duelliste	0.2	0	9
duellistes	0.01	0.14	10
duels	1.37	1.01	5
dues	1.94	1.55	4
dues	0.04	0.07	4
duettistes	0.06	0.68	10
duffel-coat	0.01	0.07	11
duffle-coat	0	0.27	11
duffle-coats	0	0.07	12
dugong	0.01	0.2	6
dugongs	0	0.07	7
duit	0	0.07	4
dulcifiant	0	0.14	10
dulcinée	0.42	0.47	8
dum-dum	0.2	0.27	7
dumper	0.01	0	6
dumping	0	0.07	7
dundee	0	0.07	6
dune	1.55	3.45	4
dunes	2.41	9.39	5
dunette	0.07	0.61	7
dunettes	0	0.07	8
dunkerque	0	0.14	9
duo	2.49	2.09	3
duodi	0	0.07	5
duodécimale	0	0.07	11
duodénal	0.01	0	8
duodénale	0.01	0	9
duodénum	0.17	0.27	8
duopole	0.01	0	7
duos	0.09	0.41	4
dupait	0.03	0.2	6
dupant	0.04	0.07	6
dupe	2.37	7.36	4
dupe	0.35	0.88	4
dupe	0.28	0.27	4
dupent	0.06	0	6
duper	1.96	1.35	5
dupera	0.04	0	6
duperas	0.03	0	7
duperie	0.26	0.81	7
duperies	0.17	0.07	8
dupes	0.34	1.15	5
dupes	0.66	0.41	5
dupes	0.03	0	5
dupeur	0.01	0	6
dupez	0.14	0	5
duplex	0.01	0.14	6
duplex	0.41	1.35	6
duplicata	0.08	0.41	9
duplicate	0.03	0	9
duplicateur	0.03	0.14	11
duplicateurs	0.21	0	12
duplication	0.19	0.47	11
duplice	0.01	0.14	7
duplicité	0.3	1.28	9
dupliquer	0.13	0	9
dupliqué	0.13	0	8
dupliqués	0.05	0	9
dupons	0.01	0.07	6
dupé	1.15	0.34	4
dupée	0.18	0.34	5
dupés	0.81	0.07	5
duquel	0.44	7.64	6
duquel	1.92	22.57	6
dur	145.55	80.68	3
dur	1.31	0.54	3
dur	16.2	13.99	3
dura	1.56	12.7	4
durabilité	0.01	0	10
durable	1.61	4.73	7
durablement	0	0.74	11
durables	0.53	1.22	8
duraient	0.43	2.03	8
duraille	0	2.36	8
durailles	0.02	0.07	9
durait	1.04	8.92	6
durale	0.01	0	6
duralumin	0	0.27	9
durant	0.02	0	6
durant	34.15	65.95	6
durant	3.14	7.3	6
durassent	0	0.07	9
durci	0.16	1.55	5
durci	0.14	2.09	5
durcie	0.04	1.22	6
durcie	0.13	0.95	6
durcies	0	0.34	7
durcies	0	0.47	7
durcir	0.73	2.23	6
durciraient	0	0.07	11
durcirent	0.14	0.07	9
durcis	0.02	1.01	6
durcis	0.09	0.81	6
durcissaient	0	0.2	12
durcissais	0	0.14	10
durcissait	0.02	2.3	10
durcissant	0.01	0.54	10
durcisse	0.05	0.14	8
durcissement	0.01	0.74	12
durcissent	0.17	0.34	10
durcisseur	0.03	0	10
durcit	0.3	3.65	6
dure	26.16	33.65	4
dure	3.33	5.41	4
dure	23.54	19.05	4
dure-mère	0.02	0.07	9
durement	3.27	12.97	8
durent	2.98	6.35	6
durent	0.43	0.95	6
durer	20.59	24.05	5
durera	8.35	4.73	6
durerai	0.19	0.2	7
dureraient	0.04	0.74	10
durerais	0.02	0	8
durerait	1.16	3.31	8
dureras	0.01	0	7
durerez	0.06	0	7
dureront	0.82	0.54	8
dures	4.05	11.89	5
dures	0.37	0.41	5
dures	0.02	0	5
dureté	1.56	11.35	6
duretés	0	0.88	7
durham	0.09	0	6
durian	2.21	0	6
durillon	0	0.41	8
durillons	0.05	0.61	9
durit	0.04	0	5
durite	0.47	0.07	6
durites	0.03	0	7
durs	12.08	20.47	4
durs	4.49	2.97	4
durât	0	0.74	5
durèrent	0.04	1.35	8
duré	12.57	13.85	4
durée	0.37	1.01	5
durée	6.84	19.12	5
durées	0	0.07	6
durées	0.02	0.27	6
dus	1.57	12.77	3
dus	0.5	0.47	3
dusse	0.28	0.2	5
dussent	0.05	0.41	7
dusses	0	0.07	6
dussiez	0.03	0.2	7
dussions	0.03	0.2	8
dut	1.91	44.19	3
duvet	1.58	7.57	5
duveteuse	0.05	0.61	9
duveteuses	0.02	0.41	10
duveteux	0.05	0.74	8
duvets	0.12	1.28	6
duveté	0	0.14	6
duveté	0	0.14	6
duvetée	0	0.2	7
duvetées	0	0.14	8
duvetées	0	0.07	8
duvetés	0	0.07	7
duvetés	0	0.07	7
duègne	0.03	0.81	6
dyke	0.16	0	4
dykes	0	0.07	5
dynamique	1.97	1.69	9
dynamique	1.19	0.61	9
dynamiques	0.71	0.41	10
dynamiques	0.05	0	10
dynamiser	0.02	0	9
dynamisera	0.01	0	10
dynamiserait	0.01	0	12
dynamisez	0.01	0	9
dynamisme	0.54	1.82	9
dynamisé	0.01	0	8
dynamisée	0	0.07	9
dynamisées	0	0.14	10
dynamitage	0.07	0	10
dynamitait	0	0.07	10
dynamitant	0.01	0.07	10
dynamite	8.12	2.5	8
dynamite	0.2	0.07	8
dynamiter	0.43	0.07	9
dynamiteur	0.04	0.14	10
dynamiteurs	0.01	0.2	11
dynamitez	0.03	0	9
dynamitons	0.02	0	10
dynamité	0.09	0.2	8
dynamitée	0.12	0	9
dynamo	0.19	0.54	6
dynamomètre	0.03	0.07	11
dynamométrique	0.01	0	14
dynamos	0.01	0.41	7
dynastie	2.29	3.04	8
dynasties	0.02	0.61	9
dynastique	0.01	0.07	10
dynes	0.01	0.07	5
dyscinésie	0.01	0	10
dyscrasie	0.01	0	9
dysenterie	0.8	1.42	10
dysenteries	0	0.07	11
dysentérique	0	0.07	12
dysentériques	0	0.2	13
dysfonction	0.09	0	11
dysfonctionnement	0.57	0	17
dysfonctionnements	0.2	0	18
dyslexie	0.12	0.07	8
dyslexique	0.46	0.07	10
dyslexique	0	0.07	10
dysménorrhée	0.01	0	12
dyspepsie	0.05	0.14	9
dyspepsique	0.01	0.07	11
dyspeptique	0.02	0.07	11
dysphonie	0.01	0	9
dysphorie	0.02	0	9
dysplasie	0.06	0.07	9
dyspnée	0.05	0	7
dyspnéique	0	0.07	10
dyspnéiques	0	0.07	11
dysthymie	0.1	0.07	9
dystocie	0.03	0	8
dystrophie	0.05	0	10
dysurie	0.01	0	7
dytique	0	0.07	7
dèche	0.38	1.89	5
dèches	0.01	0.07	6
dèmes	0	0.14	5
dès	143.72	275.07	3
dé	5.74	3.65	2
déambula	0.01	0.27	8
déambulai	0.02	0	9
déambulaient	0.01	0.68	12
déambulais	0.2	0.2	10
déambulait	0.1	1.22	10
déambulant	0.01	0	10
déambulant	0.2	1.15	10
déambulante	0	0.14	11
déambulateur	0.01	0	12
déambulateur	0.13	0	12
déambulation	0.01	0.54	12
déambulations	0.01	0.88	13
déambulatoire	0	0.07	13
déambulatoire	0	0.07	13
déambulatoires	0	0.07	14
déambule	0.52	1.22	8
déambulent	0.1	0.47	10
déambuler	0.29	1.55	9
déambulerai	0.01	0	11
déambulez	0.04	0.07	9
déambulions	0.14	0.14	11
déambulons	0	0.2	10
déambulèrent	0	0.2	12
déambulé	0.22	0.34	8
débagoulage	0	0.07	11
débagoule	0	0.34	9
débagouler	0.01	0.2	10
débagoulerait	0	0.07	13
débagoules	0	0.07	10
déballa	0	0.68	7
déballage	0.3	1.62	9
déballages	0.01	0.14	10
déballai	0	0.2	8
déballaient	0	0.34	11
déballais	0.02	0.07	9
déballait	0.02	0.81	9
déballant	0.02	0.14	9
déballe	0.67	1.42	7
déballent	0.04	0.07	9
déballer	1.63	1.49	8
déballera	0.02	0	9
déballez	0.35	0.07	8
déballonnage	0	0.07	12
déballonner	0	0.41	11
déballonnerais	0.01	0	14
déballonneront	0	0.07	14
déballonné	0	0.27	10
déballons	0.04	0	9
déballèrent	0	0.2	11
déballé	0.69	0.95	7
déballée	0.04	0.14	8
déballées	0.05	0.07	9
déballés	0.01	0.07	8
débanda	0	0.07	7
débandade	0.58	3.51	9
débandaient	0.01	0.14	11
débandais	0	0.07	9
débandait	0	0.07	9
débande	0.35	0.27	7
débandent	0.03	0.07	9
débander	0.28	0.95	8
débandera	0	0.07	9
débanderaient	0.01	0	13
débandez	0	0.14	8
débandèrent	0	0.07	11
débandé	0.13	0.2	7
débandées	0	0.07	9
débandés	0	0.27	8
débaptiser	0	0.07	10
débaptiserais	0	0.07	13
débaptisé	0	0.07	9
débaptisée	0	0.07	10
débarbot	0	0.14	8
débarbots	0	0.07	9
débarbouilla	0	0.14	12
débarbouillait	0	0.2	14
débarbouillant	0	0.07	14
débarbouille	0.28	0.47	12
débarbouiller	0.37	1.42	13
débarbouillette	0.02	0	15
débarbouillé	0.04	0.14	12
débarbouillée	0.13	0.27	13
débarbouillés	0	0.07	13
débarcadère	0.43	1.55	11
débarcadères	0	0.07	12
débardage	0	0.14	9
débardages	0	0.07	10
débardaient	0	0.07	11
débarder	0	0.14	8
débardeur	0.69	0.68	9
débardeurs	0.08	0.74	10
débardée	0	0.2	8
débaroule	0	0.07	9
débaroulent	0	0.07	11
débarqua	0.46	1.49	8
débarquai	0	0.47	9
débarquaient	0.15	1.62	12
débarquais	0.04	0.27	10
débarquait	0.51	2.97	10
débarquant	0.39	2.23	10
débarque	6.18	3.85	8
débarquement	2.74	14.12	12
débarquements	0.05	0.88	13
débarquent	1.84	2.09	10
débarquer	5.9	7.36	9
débarquera	0.37	0.27	10
débarquerai	0.07	0.07	11
débarqueraient	0.02	0.07	14
débarquerait	0.03	0.2	12
débarqueras	0.02	0	11
débarquerez	0.17	0.07	11
débarquerons	0.4	0.07	12
débarqueront	0.17	0.27	12
débarques	1.25	0.34	9
débarquez	0.88	0.27	9
débarquiez	0.02	0.14	10
débarquions	0.11	0.27	11
débarquons	0.16	0.27	10
débarquâmes	0	0.41	11
débarquèrent	0.03	0.95	12
débarqué	6.04	6.62	8
débarqué	0.03	0.47	8
débarquée	0.04	0.61	9
débarquée	0.06	0.07	9
débarquées	0.14	0.27	10
débarquées	0.01	0.34	10
débarqués	0.27	0.88	9
débarqués	0.02	0.27	9
débarra	0.01	0	7
débarras	2.79	6.96	8
débarras	0	0.07	8
débarrassa	0.01	2.5	10
débarrassai	0	0.07	11
débarrassaient	0.02	0.47	14
débarrassais	0.07	0.27	12
débarrassait	0.43	1.82	12
débarrassant	0.14	1.42	12
débarrasse	11.42	4.12	10
débarrassent	0.33	0.54	12
débarrasser	32.37	23.58	11
débarrassera	1.17	0.34	12
débarrasserai	0.54	0.47	13
débarrasserais	0.25	0.2	14
débarrasserait	0.07	0.27	14
débarrasseras	0.53	0	13
débarrasserez	0.16	0.07	13
débarrasserons	0.08	0	14
débarrasseront	0.21	0.2	14
débarrasses	0.91	0.07	11
débarrassez	3.03	0.54	11
débarrassiez	0.24	0	12
débarrassons	0.79	0	12
débarrassât	0	0.07	11
débarrassèrent	0.1	0.27	14
débarrassé	5.64	6.62	10
débarrassée	1.72	2.57	11
débarrassées	0.26	0.34	12
débarrassés	1.3	2.09	11
débarrer	0	0.07	8
débarrons	0	0.07	9
débat	7.77	9.46	5
débat	1.23	3.58	5
débats	2.93	6.35	6
débats	1.21	1.08	6
débattaient	0.02	0.61	11
débattais	0.02	0.88	9
débattait	0.51	6.42	9
débattant	0.08	1.35	9
débatte	0.01	0.07	7
débattent	0.24	0.74	9
débatteur	0	0.07	9
débattez	0.22	0	8
débattiez	0.01	0.07	9
débattions	0.01	0.2	10
débattirent	0	0.14	11
débattis	0	0.68	8
débattit	0.01	1.28	8
débattons	0.33	0.27	9
débattra	0.01	0.07	8
débattraient	0	0.07	12
débattrais	0.02	0.07	10
débattrait	0.02	0.34	10
débattre	2.64	5.27	8
débattrons	0.17	0.07	10
débattu	1.05	1.62	7
débattue	0.73	0.95	8
débattue	0.01	0	8
débattues	0.01	0.2	9
débattus	0.07	0.34	8
débattît	0	0.07	8
débauchais	0	0.07	10
débauchait	0	0.07	10
débauchant	0	0.07	10
débauche	2.72	7.16	8
débauche	0.16	0.47	8
débaucher	0.19	0.61	9
débauches	0.14	2.23	9
débauches	0.12	0	9
débaucheur	0.01	0	10
débaucheurs	0.01	0	11
débauché	0.26	0.2	8
débauché	0.06	0.41	8
débauché	0.62	0.74	8
débauchée	0.06	0.14	9
débauchée	0.12	0.14	9
débauchée	0.24	0	9
débauchées	0.03	0	10
débauchées	0.11	0	10
débauchés	0.01	0.07	9
débauchés	0.01	0.14	9
débauchés	0.12	0.61	9
débecquetait	0	0.07	12
débectage	0	0.07	9
débectait	0	0.2	9
débectance	0	0.2	10
débectant	0.04	0.14	9
débecte	0.23	0.95	7
débectent	0.01	0.14	9
débecter	0.01	0	8
débecterais	0	0.07	11
débectez	0.16	0	8
débecté	0	0.14	7
débectée	0	0.2	8
débectés	0	0.07	8
débiffé	0	0.07	7
débile	17.8	3.11	6
débile	8.32	1.35	6
débilement	0.02	0	10
débiles	3.29	1.55	7
débiles	3.66	1.55	7
débilitaient	0	0.07	12
débilitant	0.04	0.14	10
débilitant	0	0.07	10
débilitante	0.05	0.14	11
débilitantes	0.06	0	12
débilitation	0	0.14	12
débilite	0	0.07	8
débilité	0	0.2	8
débilité	0.27	0.74	8
débilitée	0	0.07	9
débilités	0	0.07	9
débilités	0.08	0.14	9
débiller	0	0.07	8
débinait	0	0.14	8
